case_id,N,Z,T,score,temporal_dice,wrap_dice,spatial_dice,derived_z_spacing,confidence,status,score_gap,reason
CINE_SAX_075,250,10,25,2.0883342389149875,0.9716440489122398,0.9484292972286912,0.8033831561381831,,high,accepted,inf,all confidence gates passed
CINE_SAX_076,325,13,25,2.1440763388915665,0.9650106260636698,0.8539428513032661,0.639887764539039,,high,accepted,inf,all confidence gates passed
CINE_SAX_077,250,10,25,2.0596126278890887,0.9797545435571379,0.9482751053566624,0.8481715645818495,,high,accepted,inf,all confidence gates passed
CINE_SAX_078,250,10,25,2.1129296002508626,0.9716344212667051,0.9590925365445978,0.7894317788271453,,high,accepted,inf,all confidence gates passed
CINE_SAX_079,360,12,30,2.069771159453393,0.9726175066849806,0.9491307783730155,0.8245946322895839,,high,accepted,0.11552621848147471,all confidence gates passed
CINE_SAX_080,300,12,25,2.0698778982062875,0.9799083827789374,0.9488334159726355,0.8387722833242228,,high,accepted,0.10171376737268556,all confidence gates passed
CINE_SAX_081,300,12,25,2.0094535305673493,0.9768320597819705,0.8856912715227435,0.8299018605193352,,high,accepted,0.06711152502205087,all confidence gates passed
CINE_SAX_082,300,10,30,2.0224417458411774,0.9665629446435463,0.938674886440871,0.8493590298867861,,high,accepted,0.10124702654804141,all confidence gates passed
CINE_SAX_083,285,15,19,1.9688758602701901,0.9781760257350165,0.8479619803302475,0.8354381715300905,,high,accepted,inf,all confidence gates passed
CINE_SAX_084,250,10,25,2.151140141348562,0.9640062091900369,0.9531245357094598,0.7299968127409713,,high,accepted,inf,all confidence gates passed
CINE_SAX_085,275,11,25,2.133569904849939,0.9701871236076393,0.9441338023531078,0.7509381447184474,,high,accepted,inf,all confidence gates passed
CINE_SAX_086,275,11,25,2.0414560343224206,0.9651056588997324,0.9479272483796262,0.8366825318566704,,high,accepted,inf,all confidence gates passed
CINE_SAX_087,330,11,30,2.1622492672637232,0.9768446850420474,0.9396581163966219,0.731098219216993,,high,accepted,0.19419719548055014,all confidence gates passed
CINE_SAX_088,550,22,25,1.9775744208267598,0.9833064609084319,0.8803468580277779,0.8693853590178817,,high,accepted,inf,all confidence gates passed
CINE_SAX_089,300,10,30,2.055272735953187,0.9787010735675896,0.9323025758448391,0.8344319870268316,,high,accepted,0.09285997255699208,all confidence gates passed
CINE_SAX_090,275,11,25,2.053423828251846,0.9771663581492162,0.9266328609447411,0.827541748991327,,high,accepted,inf,all confidence gates passed
CINE_SAX_091,275,11,25,2.147146754244129,0.9764526292493553,0.9269438349329525,0.7327023391875339,,high,accepted,inf,all confidence gates passed
CINE_SAX_092,275,11,25,2.155422410674782,0.9721898299182943,0.9327082680783839,0.7216655172401907,,high,accepted,inf,all confidence gates passed
CINE_SAX_093,300,10,30,1.9942963357190049,0.9661295024085854,0.9390903477653729,0.8770530168635388,,medium,accepted,0.04673582030027257,all confidence gates passed
CINE_SAX_094,250,10,25,2.038003270386643,0.9487775747012566,0.913321010112109,0.772872889127979,,high,accepted,inf,all confidence gates passed
CINE_SAX_095,240,8,30,2.0629161631782766,0.9615234297574616,0.8105475100101696,0.6706782063468162,,high,accepted,0.10899611002603571,all confidence gates passed
CINE_SAX_096,330,11,30,2.1927463751651963,0.9747081862340923,0.960952015249864,0.717622012552852,,high,accepted,0.2328904836607757,all confidence gates passed
CINE_SAX_097,300,10,30,2.0512609515028,0.9748753124627624,0.9453691744583361,0.8438588478810604,,high,accepted,0.10607928238258246,all confidence gates passed
CINE_SAX_098,250,10,25,2.1525671340204267,0.969429083710059,0.9081284947950616,0.6944195281947528,,high,accepted,inf,all confidence gates passed
CINE_SAX_099,360,12,30,2.157482949706661,0.9743169019980222,0.9532972083176167,0.744448062607,,high,accepted,0.18825488671162272,all confidence gates passed
CINE_SAX_100,275,11,25,2.1256676301107063,0.9658356637745532,0.9367992584381873,0.7428029558765876,,high,accepted,inf,all confidence gates passed
CINE_SAX_101,275,11,25,2.1234992904872314,0.9667094309895093,0.9228186195771078,0.7327381910688947,,high,accepted,inf,all confidence gates passed
CINE_SAX_102,250,10,25,2.1908897992428287,0.9710665732062264,0.9484123875861806,0.6996557347558049,,high,accepted,inf,all confidence gates passed
CINE_SAX_103,300,12,25,2.129067036760498,0.9725422213254542,0.931276398095796,0.7472938039862067,,high,accepted,0.17549194901236742,all confidence gates passed
CINE_SAX_104,250,10,25,2.130426544463771,0.9667753971104216,0.9298467194045676,0.7329709691616401,,high,accepted,inf,all confidence gates passed
CINE_SAX_105,300,10,30,2.013892297075451,0.9616432726045787,0.8394237085653927,0.7488179566990992,,low,manual_review,0.01314632105461655,failed gates: top1_top2_gap
